"student_id","entry_exam_mark","sat_score","percentage_absence","free_school_meals","grade_point_average","completed.extended.project","month_of_birth","commute_method"
46,59.77,686,10.51,"Yes",2.03,"No","July","Bus"
96,55.59,888,5.69,"Yes",2.34,"No","April","Bus"
146,63.48,1058,17.31,"No",2.44,"No","October","Other"
196,85.74,1469,14.77,"No",3.48,"Yes","November","Walking"
246,74.73,1227,0,"No",3.63,"Yes","January","Car"
296,80.98,1053,10.64,"No",2.55,"No","March","Bus"
346,57.64,700,15.07,"Yes",1.58,"No","April","Bus"
396,83.29,1056,0,"No",3.32,"Yes","April","Walking"
446,60.46,1128,14.37,"No",2.56,"Yes","August","Bus"
496,71.21,656,3.46,"Yes",1.46,"No","January","Car"
546,79.76,997,2.43,"No",3.02,"Yes","June","Bus"
596,63.25,668,2.19,"Yes",2.02,"No","August","Bus"
646,81.03,1202,14.56,"No",2.69,"Yes","September","Car"
696,86.54,1142,0,"No",3.65,"Yes","February","Walking"
746,54.77,767,18.89,"Yes",1.3,"No","October","Other"
796,82.57,1265,10.94,"No",2.6,"Yes","August","Bus"
846,71.89,838,8.01,"Yes",2.53,"Yes","October","Bus"
896,56.1,870,7.79,"Yes",2.2,"Yes","March","Walking"
946,73.79,1095,7.73,"No",2.69,"No","February","Car"
996,88.42,701,0,"Yes",2.43,"No","January","Other"
1046,37.12,746,8.03,"Yes",2.35,"Yes","June","Bus"
1096,76.4,1017,1.78,"No",2.6,"Yes","July","Bicycle"
1146,65.15,809,9.37,"Yes",2.03,"Yes","May","Car"
1196,77.08,1053,14.85,"Yes",2.64,"Yes","June","Bicycle"
1246,65.53,984,5.47,"Yes",2.94,"Yes","August","Car"
1296,73.05,1269,15.73,"No",2.42,"No","April","Bus"
1346,57.61,845,20.89,"Yes",2.23,"Yes","October","Car"
1396,54.14,734,11.97,"Yes",1.87,"No","October","Walking"
1446,50.2,1079,30.65,"No",1.93,"No","December","Car"
1496,82.46,1074,10.48,"No",2.41,"Yes","February","Bus"
1546,86.21,1110,0,"No",3.23,"Yes","May","Walking"
1596,90.38,843,10.15,"Yes",2.41,"Yes","March","Bus"
1646,55.18,825,10.85,"Yes",2.22,"Yes","November","Walking"
1696,100,834,0,"Yes",2.55,"Yes","October","Walking"
1746,74.41,858,11.79,"Yes",1.91,"No","November","Bus"
1796,84.61,1101,5.61,"No",2.56,"No","February","Walking"
1846,55.96,1033,30.81,"No",1.82,"Yes","May","Bus"
1896,62.71,949,10.49,"Yes",2.05,"No","February","Car"
1946,79.79,1040,10.87,"No",3.11,"Yes","March","Car"
1996,60.32,1138,16.61,"No",2.66,"Yes","December","Car"
2146,63.21,960,21,"Yes",2.33,"No","April","Car"
2196,70.59,1405,28.4,"No",3.14,"Yes","November","Walking"
2246,33.47,823,25.75,"Yes",1.51,"No","January","Car"
2296,75.01,1145,26.59,"No",2.66,"Yes","March","Walking"
2346,72.82,947,6.14,"Yes",2.28,"Yes","August","Bus"
2396,56.45,715,6.25,"Yes",2.1,"No","March","Car"
2446,94.09,1436,14.66,"No",3.48,"No","October","Car"
2496,71.93,1144,3.1,"No",2.95,"Yes","November","Bicycle"
2546,69.19,860,15.48,"Yes",2.13,"Yes","June","Bus"
2596,100,1250,11.67,"No",3.1,"Yes","February","Walking"
2646,70.26,790,5.46,"Yes",2.05,"No","January","Car"
2696,78.01,1114,15.94,"No",3,"Yes","February","Walking"
2746,69.09,823,15.26,"Yes",1.87,"Yes","February","Car"
2796,57.61,976,25.84,"No",2.27,"Yes","March","Car"
2846,77.66,1036,13.1,"No",2.66,"Yes","February","Bicycle"
2896,66.11,1133,16.07,"No",2.7,"Yes","December","Car"
2946,60.12,1242,5.61,"No",2.8,"Yes","September","Bus"
2996,62.34,1279,10.19,"No",3.19,"Yes","November","Walking"
3046,56.1,1032,32.28,"No",1.84,"No","December","Bicycle"
3096,66.19,1178,14.36,"No",2.98,"Yes","January","Bus"
3146,93.95,1335,0,"No",3.76,"Yes","June","Bus"
3196,67.06,1132,18.36,"No",2.36,"Yes","June","Bicycle"
3246,98.31,1459,9.74,"No",3.24,"Yes","July","Car"
3296,71.93,1386,24.29,"No",3.08,"Yes","March","Bus"
3346,67.57,1001,0,"Yes",2.76,"Yes","March","Bus"
3396,57.53,591,3.63,"Yes",2.25,"No","April","Car"
3446,71.66,1043,9.4,"No",2.74,"Yes","August","Walking"
3496,73.94,1025,17.17,"No",2.39,"No","April","Car"
3546,76.78,1308,21.66,"No",3,"Yes","July","Car"
3596,90.3,1206,4.61,"No",3.1,"Yes","January","Bicycle"
3646,40.41,568,16.31,"Yes",0.84,"No","March","Car"
3696,100,1394,14.14,"No",3.33,"Yes","September","Car"
3746,57.14,844,12.34,"Yes",2.05,"No","June","Car"
3796,69.15,1034,19.86,"No",1.89,"No","October","Other"
3846,56.8,778,0,"Yes",2.65,"Yes","December","Bus"
3896,60.41,1137,23.13,"No",2.83,"Yes","September","Walking"
3946,69.59,1043,23.06,"No",2.25,"Yes","October","Car"
3996,44.62,797,14.2,"Yes",1.84,"No","August","Car"
4046,68.75,938,26.02,"No",1.94,"No","May","Car"
4096,84.31,990,0,"No",2.5,"Yes","February","Bicycle"
4146,70.45,909,6.62,"Yes",2.19,"Yes","February","Car"
4196,77.32,1182,5.65,"No",3.4,"Yes","March","Walking"
4246,61.22,921,0,"No",2.49,"Yes","October","Car"
4296,35.92,858,34.14,"Yes",2.3,"No","June","Car"
4346,35.39,877,29.85,"Yes",1.77,"No","November","Bus"
4396,28.66,652,18.16,"Yes",1.48,"No","March","Bus"
4446,53.24,732,14.64,"Yes",1.72,"No","October","Car"
4496,70.48,1185,25.92,"No",2.12,"Yes","July","Car"
4546,84.51,1216,1.03,"No",3.11,"Yes","August","Bus"
4596,44.06,814,10.92,"Yes",2.1,"No","April","Car"
4646,72.29,974,13.53,"No",2.24,"Yes","March","Bus"
4696,25.59,594,3.58,"Yes",2.14,"No","June","Bus"
4746,94.58,1243,17.19,"No",2.35,"Yes","August","Car"
4796,91.22,1206,6.78,"No",2.91,"Yes","February","Walking"
4846,73.02,979,13.79,"No",2.41,"Yes","January","Walking"
4896,74.5,1231,2.62,"No",3.41,"Yes","May","Bus"
4946,74.05,1069,16.53,"No",2.89,"Yes","October","Bicycle"
4996,59.95,814,4.09,"Yes",2.1,"No","January","Bus"
5046,79.48,1083,7.37,"No",2.68,"No","October","Car"
5096,66.12,1081,3.67,"No",2.96,"Yes","March","Car"
5146,39.38,717,10.96,"Yes",1.68,"No","February","Car"
5196,76.75,1129,4.01,"No",3.13,"Yes","January","Bicycle"
5246,71.96,842,12.8,"Yes",2.5,"Yes","June","Other"
5296,71.43,873,3.7,"Yes",2.43,"Yes","December","Walking"
5346,84.55,934,0.8,"Yes",2.35,"No","January","Car"
5396,57.34,1022,7.64,"No",2.61,"No","September","Bus"
5446,76.8,840,5.05,"Yes",2.44,"Yes","April","Walking"
5496,88.86,998,2.91,"Yes",3.1,"Yes","January","Car"
5546,63.33,1357,30.13,"No",2.95,"Yes","July","Bus"
5596,54.32,1309,21.39,"No",3.15,"Yes","December","Car"
5646,81.28,1274,22.49,"No",2.71,"Yes","April","Bus"
5696,65.29,837,7,"Yes",2.46,"Yes","December","Walking"
5746,61.49,869,19.82,"Yes",2.22,"No","October","Car"
5796,56.86,964,16.29,"Yes",2.64,"Yes","May","Bus"
5846,54.6,729,11.9,"Yes",1.77,"No","July","Car"
5896,93.96,1189,0,"No",3.12,"Yes","November","Car"
5946,71.25,1201,11.95,"No",3.21,"Yes","April","Bicycle"
5996,91.39,1371,18.47,"No",3.15,"Yes","May","Bicycle"
6146,55.68,1153,31.08,"No",1.81,"No","March","Car"
6196,82.23,1315,18.6,"No",2.54,"Yes","January","Bus"
6246,77.55,1226,16.55,"No",2.88,"Yes","June","Bus"
6296,41.28,599,5.02,"Yes",1.52,"No","September","Car"
6346,58.31,892,17.96,"Yes",2.07,"Yes","March","Bus"
6396,69.75,1061,13.33,"No",2.32,"No","August","Car"
6446,88.16,932,2.25,"Yes",2.86,"Yes","May","Walking"
6496,69.57,839,10.03,"Yes",1.93,"No","April","Bus"
6546,63.76,1047,26.67,"No",1.99,"No","December","Car"
6596,55.28,1186,27.15,"No",2.44,"Yes","February","Walking"
6646,66.98,622,5.89,"Yes",1.77,"No","December","Bus"
6696,58.92,703,16.19,"Yes",1.54,"Yes","September","Bicycle"
6746,88.69,1308,15.21,"No",3.21,"Yes","July","Car"
6796,39.92,611,13.62,"Yes",1.37,"No","May","Car"
6846,46.76,818,21.13,"Yes",1.95,"Yes","November","Bus"
6896,100,1201,8.9,"No",2.85,"Yes","May","Car"
6946,50.68,625,0,"Yes",2.34,"Yes","August","Car"
6996,39.16,486,17.4,"Yes",1.5,"Yes","September","Walking"
7146,45.57,839,17.27,"Yes",2.31,"No","October","Car"
7196,64.26,839,0.06,"Yes",2.27,"Yes","June","Bicycle"
7246,71.32,1204,15.77,"No",2.37,"Yes","September","Walking"
7296,70.83,1088,9.4,"No",2.62,"Yes","August","Bus"
7346,50.91,843,4.86,"Yes",2.08,"Yes","October","Car"
7396,87.28,1190,1.67,"No",3.01,"Yes","September","Walking"
7446,81.23,908,16.82,"Yes",2.27,"Yes","October","Car"
